工作状态,n1,n2,P0,T0,F,Wf,ma,P2_star,T2_star,P3_star,T3_star,P5_star,T5_star,alpha1,alpha2,At
慢车状态,,,,,,,,,,,,,,,,,
N2=75%,,,,,,,,,,,,,,,,,,
N2=80%,,,,,,,,,,,,,,,,,,
N2=85%,,,,,,,,,,,,,,,,,,
N2=90%,,,,,,,,,,,,,,,,,,
N2=95%,,,,,,,,,,,,,,,,,,
N2=97%,,,,,,,,,,,,,,,,,,
最大状态,,,,,,,,,,,,,,,,,
加力_alpha=0,,,,,,,,,,,,,,,,,
加力_alpha=1,,,,,,,,,,,,,,,,,
加力_alpha=2,,,,,,,,,,,,,,,,,
