采样时间：2026-05-30 12:25:04
采样频率：5120Hz
测点描述	<未描述>	<未描述>	<未描述>	
time[s]	AI1-1 [Pa]	AI1-2 [Pa]	AI1-3 [Pa]	
0	395.703	328.9285	324.04553	
0.0002	450.9415	134.58662	278.3288	
0.00039	623.06592	178.83847	273.5069	
0.00059	887.11206	284.92081	326.30389	
0.00078	904.99585	419.93469	312.02124	
0.00098	897.30524	452.34534	265.69415	
0.00117	837.42792	308.78629	176.70216	
0.00137	614.7038	270.33295	149.17447	
0.00156	440.62625	-12.6957	-26.12384	
0.00176	474.31866	-47.18161	-353.95367	
0.00195	537.55304	245.85712	-420.72818	
0.00215	495.92578	227.3629	-459.6698	
0.00234	279.24435	132.45033	-325.75458	
0.00254	106.44856	74.89243	146.18365	
0.00273	494.58298	84.53627	338.26715	
0.00293	724.99768	78.79879	108.58485	
0.00312	664.87622	145.81744	76.11316	
0.00332	683.55359	109.37834	347.72791	
0.00352	793.5423	71.7185	496.65823	
0.00371	917.26434	10.62044	514.11481	
0.00391	840.4187	-126.4687	490.98178	
0.0041	810.69366	-156.68202	491.34799	
0.0043	745.5672	-234.80942	509.47598	
0.00449	661.51923	-60.54872	545.06061	
0.00469	637.40961	28.1991	696.1272	
0.00488	669.45404	-12.75674	825.40363	
0.00508	766.5639	93.08145	737.44928	
0.00527	746.48273	160.22217	642.84186	
0.00547	389.35513	138.61507	675.13049	
0.00566	155.09506	116.88589	706.80865	
0.00586	541.76459	155.1561	631.42798	
0.00605	849.2691	78.43257	718.71088	
0.00625	834.55914	89.17509	827.78406	
0.00645	780.0531	-11.0477	535.05054	
0.00664	668.72156	-241.70659	401.19632	
0.00684	682.57697	-110.11078	473.89142	
0.00703	694.35712	115.42101	526.87152	
0.00723	600.78735	218.51253	643.51331	
0.00742	590.289	289.3765	717.61224	
0.00762	717.55121	347.30063	737.75446	
0.00781	897.2442	441.11453	675.37463	
0.00801	872.4021	525.89496	776.87915	
0.0082	881.61871	442.3963	830.95795	
0.0084	522.84308	377.88019	808.13013	
0.00859	-0.61037	511.6123	829.18793	
0.00879	172.06335	489.45584	708.5177	
0.00898	164.25063	215.88794	519.60815	
0.00918	116.15345	-43.88562	338.63339	
0.00938	135.74632	-36.62221	169.62187	
