采样时间：2026-05-30 12:20:23
采样频率：5120Hz
测点描述	<未描述>	<未描述>	<未描述>	
time[s]	AI1-1 [Pa]	AI1-2 [Pa]	AI1-3 [Pa]	
0	-52.06458	-15.93066	-3.60118	
0.0002	23.49925	45.41154	41.81036	
0.00039	30.51851	55.97095	77.76116	
0.00059	-107.85241	-42.90902	21.42399	
0.00078	-261.23843	-174.99313	-182.62276	
0.00098	-320.93265	-238.47163	-279.7937	
0.00117	-362.49884	-314.76791	-295.11398	
0.00137	-379.46713	-339.18271	-315.80554	
0.00156	-360.24048	-296.27368	-302.80466	
0.00176	-333.50629	-234.50423	-313.30301	
0.00195	-220.09949	-180.12024	-231.69652	
0.00215	-107.85241	-171.1478	-174.87106	
0.00234	-71.35227	-122.31818	-108.76797	
0.00254	-5.18815	-46.08295	20.08118	
0.00273	20.56948	67.07968	80.99612	
0.00293	-27.10044	66.89658	86.7336	
0.00312	-120.54811	-97.23197	3.96741	
0.00332	-226.08112	-237.2509	-123.90515	
0.00352	-269.17325	-298.53207	-219.00082	
0.00371	-314.0965	-297.67755	-269.53949	
0.00391	-371.77649	-315.68347	-302.31635	
0.0041	-339.54895	-319.34567	-284.00525	
0.0043	-274.23932	-247.26097	-272.10303	
0.00449	-219.24496	-196.47816	-228.46156	
0.00469	-146.36678	-142.21625	-134.64766	
0.00488	-87.89331	-99.18516	-82.88828	
0.00508	-14.40474	-62.68502	-29.96918	
0.00527	41.99347	13.91644	47.05954	
0.00547	22.5837	15.62548	101.99286	
0.00566	-124.45448	-64.27198	30.15229	
0.00586	-261.97089	-217.71904	-153.26396	
0.00605	-301.95013	-311.04465	-277.71844	
0.00625	-339.48788	-311.83813	-277.53534	
0.00645	-315.2562	-282.05206	-279.00021	
0.00664	-289.6817	-256.59964	-278.02362	
0.00684	-276.0094	-229.74333	-270.94333	
0.00703	-217.9632	-191.41209	-252.87637	
0.00723	-129.39848	-156.19373	-150.94455	
0.00742	-34.60799	-71.29124	-59.51109	
0.00762	-0.12207	28.62636	-26.85629	
0.00781	28.32118	86.79464	34.18073	
0.00801	-6.04267	14.52681	52.85806	
0.0082	-156.07166	-67.26279	-65.98102	
0.0084	-257.94244	-168.03491	-172.55165	
0.00859	-292.12317	-275.58215	-251.53355	
0.00879	-308.66422	-281.68585	-324.1676	
0.00898	-304.57474	-303.84229	-346.01886	
0.00918	-287.0571	-305.73444	-297.1282	
0.00938	-263.4968	-248.23755	-227.30186	
0.00957	-222.23578	-198.73653	-184.14868	
0.00977	-131.35167	-146.54988	-111.39256	
0.00996	-46.3271	-66.71346	-48.03613	
0.01016	19.22666	-6.592	-1.89215	
0.01035	64.14991	40.2234	56.45924	
0.01055	24.84207	26.73421	84.65835	
0.01074	-90.5179	-99.24619	5.31022	
0.01094	-241.46245	-210.33357	-136.78397	
0.01113	-319.10153	-270.27191	-246.83371	
0.01133	-312.69266	-291.51282	-288.94925	
0.01152	-309.88495	-276.37561	-314.03546	
0.01172	-303.2319	-258.79697	-308.42004	
0.01191	-259.59045	-204.47401	-232.49001	
0.01211	-189.70305	-143.68114	-179.99817	
0.0123	-116.21449	-91.43346	-115.78722	
0.0125	-41.07792	-14.16059	-40.16236	
