# 三孔气动探针标定校准实验 — 数据记录表
# 在标定风洞中进行，偏航角范围 -25° ~ +25°，间隔 5°
#
# alpha: 迎角/偏航角 (°)
# P1: 三孔探针左孔压力 (Pa)
# P2: 三孔探针中间孔压力 (Pa)
# P3: 三孔探针右孔压力 (Pa)
# Pt: 风洞总压 (Pa) — 稳流段压力
# Ps: 风洞静压 (Pa) — 试验段壁面静压
# P0: 大气压力 (Pa)
# T0: 大气温度 (K)
#
alpha(deg),P1(Pa),P2(Pa),P3(Pa),Pt(Pa),Ps(Pa),P0(Pa),T0(K)
-25,,,,,,,
-20,,,,,,,
-15,,,,,,,
-10,,,,,,,
-5,,,,,,,
0,,,,,,,
5,,,,,,,
10,,,,,,,
15,,,,,,,
20,,,,,,,
25,,,,,,,
