采样时间：2026-05-30 12:13:15
采样频率：5120Hz
测点描述	<未描述>	<未描述>	<未描述>	
time[s]	AI1-1 [Pa]	AI1-2 [Pa]	AI1-3 [Pa]	
0.02812	579.60754	356.45618	290.8414	
0.02832	605.67035	263.37473	395.15366	
0.02852	617.08429	284.12732	491.71423	
0.02871	621.78412	559.89258	574.1142	
0.02891	583.26978	470.47333	724.81458	
0.0291	511.12399	402.11188	746.11652	
0.0293	450.33112	342.84494	805.56659	
0.02949	429.33438	193.79254	769.1275	
0.02969	411.14536	183.78247	763.8783	
0.02988	407.48312	94.79049	747.21521	
0.03008	425.48904	227.05771	761.25372	
0.03027	388.86685	339.42685	785.42438	
0.03047	395.45883	442.03009	741.17255	
0.03066	415.84521	614.33759	715.23181	
0.03086	415.60107	586.01642	630.75653	
0.03105	447.46237	628.43713	645.16132	
0.03125	467.54358	745.38409	621.29584	
0.03145	471.38889	838.16034	745.20099	
0.03164	495.25436	863.85693	856.53247	
0.03184	584.49048	834.62018	742.27118	
0.03203	662.61786	799.09668	683.24841	
0.03223	689.41315	755.57727	546.52545	
0.03242	674.76422	690.38971	510.81882	
0.03262	606.76898	601.70294	544.20605	
0.03281	531.32727	565.14178	460.28015	
0.03301	429.63959	578.99713	407.30002	
0.0332	366.64938	617.93878	402.84433	
0.0334	363.04819	702.90228	412.48816	
0.03359	418.10358	756.12659	417.55426	
0.03379	488.60135	748.55798	519.30298	
0.03398	536.69849	713.64484	508.31628	
0.03418	596.51477	628.5592	386.85263	
0.03438	600.23804	555.07068	417.43216	
0.03457	623.06592	536.94263	404.06506	
0.03477	683.49255	542.98529	400.15869	
0.03496	804.58997	505.81378	434.09528	
0.03516	977.99615	569.35333	436.59781	
0.03535	985.93097	601.2757	412.8544	
0.03555	806.78729	552.44604	295.17502	
0.03574	459.85291	469.98505	132.32826	
0.03594	246.95578	370.25055	92.47108	
0.03613	371.65442	311.10568	104.31226	
0.03633	328.74539	172.18542	79.28709	
0.03652	133.61003	351.51221	-9.64385	
0.03672	45.16739	482.68076	-88.62576	
0.03691	80.32471	369.8233	-1.89215	
0.03711	169.62187	364.20789	-28.38221	
0.0373	281.80792	294.01532	63.60057	
0.0375	397.65619	293.22183	135.31908	
0.0377	386.91367	316.35486	4.4557	
0.03789	416.76077	270.88229	-42.84799	
0.03809	483.71838	276.07043	-158.39107	
0.03828	601.2757	280.58719	-52.49184	
0.03848	556.47449	245.85712	111.20945	
0.03867	554.5213	216.86453	102.35908	
0.03887	592.36426	98.81893	151.55492	
0.03906	312.63162	37.41569	67.62902	
0.03926	240.54689	68.66665	-75.74694	
0.03945	142.09418	-7.93481	-189.9472	
0.03965	-16.17481	-143.437	-311.71606	
0.03984	-36.19495	-300.18005	-339.48788	
0.04004	-113.89508	-258.858	-269.29532	
0.04023	-54.81124	-110.78219	-70.49776	
0.04043	16.90726	-44.61806	101.32145	
0.04062	71.77953	30.15229	127.62841	
0.04082	112.79641	-13.91644	98.87997	
0.04102	105.28886	-122.19611	127.20115	
0.04121	152.04321	-94.30219	217.41386	
0.04141	204.41298	24.71999	292.67252	
0.0416	233.4666	114.44441	313.42508	
0.0418	115.29893	171.51402	331.431	
0.04199	107.24204	203.43639	370.00641	
0.04219	35.40147	277.96259	354.8082	
0.04238	-141.97211	307.9928	387.34091	
0.04258	-317.14835	246.34541	435.19394	
0.04277	-641.43805	204.59608	359.14182	
0.04297	-584.30737	150.45625	254.52437	
0.04316	-552.26294	118.96115	178.59431	
0.04336	-442.27423	93.69183	161.25981	
0.04355	-88.93094	163.3961	231.75757	
0.04375	-58.77865	281.62482	274.17828	
0.04395	-72.69509	298.40997	303.47604	
0.04414	-12.57363	251.83875	385.6319	
0.04434	109.92767	189.39787	478.10297	
0.04453	173.40617	270.33295	525.65082	
0.04473	192.57179	391.06418	488.78445	
0.04492	218.93979	462.23334	458.99838	
0.04512	257.14896	571.7948	515.2135	
0.04531	313.48611	600.177	553.97198	
0.04551	181.7072	598.28485	559.52637	
0.0457	48.46339	533.58563	612.75061	
0.0459	-2.99081	405.52997	647.35864	
0.04609	-25.33036	286.62985	614.33759	
0.04629	0.30519	185.85773	536.57642	
0.04648	-11.536	178.47224	472.54861	
0.04668	3.96741	174.19965	367.07663	
0.04688	97.35404	297.86066	299.87488	
0.04707	131.22958	460.28015	380.56583	
0.04727	163.27403	434.58359	517.22772	
0.04746	324.04553	317.45352	629.16962	
0.04766	393.01736	306.22272	689.10797	
0.04785	464.85794	322.39752	798.3642	
0.04805	599.32251	266.54868	838.34344	
0.04824	654.37787	318.55222	891.995	
0.04844	738.05963	265.20584	980.80383	
0.04863	738.05963	91.55553	994.84235	
0.04883	644.30676	64.69924	1023.896	
0.04902	538.04132	198.06512	949.67499	
0.04922	411.26743	195.13535	868.06848	
0.04941	314.70688	51.51524	750.08392	
0.04961	142.03314	37.47673	606.34174	
0.0498	158.14691	-2.25837	615.80249	
0.05	261.54364	32.47169	730.85724	
0.0502	208.38039	114.50545	800.19531	
0.05039	232.61208	93.08145	752.03711	
0.05059	221.44231	136.78397	750.63324	
0.05078	319.89502	203.98572	774.49872	
0.05098	357.67694	296.82303	739.52454	
0.05117	371.10507	317.39249	736.59473	
0.05137	368.23633	334.42181	758.38495	
0.05156	281.44168	412.36609	776.4519	
0.05176	204.10779	448.37793	811.05994	
0.05195	23.86547	603.90027	848.35352	
0.05215	129.15433	638.56927	845.66791	
0.05234	33.44829	603.41199	772.85071	
0.05254	-281.74689	570.75714	643.81848	
0.05273	-555.25378	435.43808	473.09793	
0.05293	-842.31085	341.13589	361.095	
0.05313	-1252.05237	281.74689	335.58154	
0.05332	-1501.75476	228.64467	380.80997	
0.05352	-1089.32764	134.03729	478.40814	
0.05371	-1000.03052	142.03314	561.11334	
0.05391	-811.30408	66.46931	496.90237	
0.0541	-259.77356	118.77804	444.95987	
0.0543	5.24918	367.87012	533.58563	
0.05449	207.52586	457.47244	654.49994	
0.05469	219.18393	490.3714	751.30469	
0.05488	164.73891	537.55304	688.9248	
0.05508	18.18903	672.13965	622.69965	
0.05527	30.39643	598.10175	626.17877	
0.05547	310.98361	490.18829	774.987	
0.05566	333.8725	441.0535	648.1521	
0.05586	163.76233	309.45767	363.78064	
0.05605	-163.76233	208.62453	279.06125	
0.05625	-411.20639	30.3354	125.85833	
0.05645	-341.99042	-79.89746	72.08472	
0.05664	-349.31485	-302.98776	-16.05274	
0.05684	-424.20728	-455.39719	111.20945	
0.05703	-388.92789	-225.22659	257.02689	
0.05723	-267.22006	-58.10724	166.99728	
0.05742	-114.13923	49.92828	146.48885	
0.05762	-33.1431	238.83786	158.4521	
0.05781	61.28117	325.08316	188.54335	
0.05801	151.00558	427.56433	199.59105	
0.0582	220.09949	530.04547	268.92911	
0.0584	371.47128	552.56812	303.90332	
0.05859	500.86978	576.98291	375.07248	
0.05879	566.66766	575.396	454.90891	
0.05898	571.42859	548.47864	439.64966	
0.05918	518.02118	507.6449	342.11249	
0.05938	437.51337	428.8461	225.71489	
0.05957	330.82065	342.41766	171.88025	
0.05977	284.24939	342.17352	-31.61718	
0.05996	300.97354	359.14182	-239.63133	
0.06016	347.78894	348.21619	-328.50125	
0.06035	395.15366	339.36581	-110.23286	
0.06055	428.11365	311.41086	192.44972	
0.06074	450.45319	331.67517	233.34453	
0.06094	409.2532	378.55161	324.41174	
0.06113	382.64108	409.00906	346.75131	
0.06133	469.49673	427.56433	232.00171	
0.06152	584.67358	431.3486	52.73598	
0.06172	652.60779	433.97321	208.0752	
0.06191	696.18823	434.52255	445.69232	
0.06211	730.00275	441.90802	433.60699	
0.0623	669.75922	418.59189	466.01764	
0.0625	566.42352	358.83664	376.84256	
0.0627	452.46741	289.55963	302.68259	
0.06289	253.48674	201.9715	188.05505	
0.06309	187.26158	135.92944	104.06812	
0.06328	84.71938	126.34663	119.6936	
0.06348	-45.89984	137.3333	100.8942	
0.06367	71.77953	192.81595	154.6678	
0.06387	97.04886	311.71606	368.41943	
0.06406	7.99585	397.96136	544.26709	
0.06426	110.47701	435.68225	510.87985	
0.06445	258.24762	449.84283	408.82596	
0.06465	296.63992	451.91809	338.38922	
0.06484	439.8938	472.79276	398.44965	
0.06504	561.29645	460.21912	449.65973	
0.06523	589.12933	477.85883	509.04874	
0.06543	686.54437	468.76431	593.64606	
0.06562	661.8244	396.49646	629.16962	
0.06582	634.90704	341.99042	581.25555	
0.06602	578.9361	176.88528	451.67395	
0.06621	156.74306	58.59554	387.95129	
0.06641	-98.81893	27.46666	314.15753	
0.0666	46.69332	85.94012	216.62038	
0.0668	179.14365	140.20203	176.45802	
0.06699	305.00198	50.41658	221.9306	
0.06719	247.44408	150.15106	214.54512	
0.06738	-13.184	177.92291	159.1235	
0.06758	-56.33717	210.69978	208.7466	
0.06777	126.65182	178.35017	235.96912	
0.06797	337.41263	-61.34221	293.22183	
0.06816	513.44342	194.28084	319.46774	
0.06836	615.61938	485.5495	303.2319	
0.06855	718.71088	550.06561	253.4257	
0.06875	793.90851	602.43536	164.86099	
0.06895	760.21606	632.95386	264.90067	
0.06914	693.92987	699.17908	335.58154	
0.06934	666.76837	619.28162	374.40106	
0.06953	651.57019	551.53052	380.80997	
0.06973	627.70471	543.77881	291.87903	
0.06992	615.61938	621.53998	280.28198	
0.07012	656.88037	700.46082	272.28613	
0.07031	709.49432	671.89551	278.57297	
0.07051	694.60126	662.80096	297.43338	
0.0707	712.05786	633.74738	296.45679	
0.0709	772.97278	622.51654	330.57651	
0.07109	734.64154	641.56012	392.77322	
0.07129	657.18561	659.38293	471.44992	
0.07148	668.78259	694.72333	582.47626	
0.07168	704.18408	577.65436	628.80334	
0.07188	765.95355	511.06296	655.47656	
0.07207	731.71179	637.65375	725.54706	
0.07227	636.43298	611.10266	763.0238	
0.07246	653.82855	576.6167	777.18439	
0.07266	599.50562	540.849	740.5011	
0.07285	439.83276	373.24136	660.66467	
0.07305	314.88998	291.08554	577.53229	
0.07324	340.46448	97.04886	526.3222	
0.07344	409.43631	54.87228	524.18591	
0.07363	473.09793	268.37976	552.81226	
0.07383	592.7915	179.75403	591.14355	
0.07402	600.60425	121.09744	621.29584	
0.07422	546.40338	165.2272	650.83771	
0.07441	566.17938	141.11758	726.76776	
0.07461	579.60754	169.74394	830.16449	
0.0748	571.73376	159.24557	885.46405	
0.075	579.05823	155.09506	969.14581	
0.0752	548.11243	168.40114	1045.9303	
0.07539	492.14148	196.41713	991.18018	
0.07559	519.48608	194.46394	845.66791	
0.07578	473.34207	137.76056	658.95563	
0.07598	278.38983	48.15821	548.78381	
0.07617	136.47878	38.63643	523.75867	
0.07637	-21.79022	-29.05362	508.49939	
0.07656	-145.75641	-166.32588	535.17261	
0.07676	-220.34364	-105.34989	578.99713	
0.07695	-269.47842	-26.24592	693.92987	
0.07715	-260.44495	-29.72503	791.83325	
0.07734	-241.82867	-15.13718	849.14703	
0.07754	-112.55226	13.48918	854.33514	
0.07773	-40.95584	-2.50252	743.61401	
0.07793	20.63051	-51.21006	845.78998	
0.07812	145.32915	-128.54396	1003.32654	
0.07832	147.64854	-116.27552	1008.02637	
0.07852	64.57716	-32.41066	1016.32739	
0.07871	36.50014	112.67434	970.12238	
0.07891	78.37153	217.71904	867.45813	
0.0791	19.40977	126.89597	717.49017	
0.0793	-48.09717	145.08499	607.86768	
0.07949	-29.48088	124.39345	580.88928	
0.07969	-120.97537	14.832	596.02649	
0.07988	-357.67694	26.30696	535.41675	
0.08008	-512.34473	84.96353	498.73349	
0.08027	-591.26562	132.08411	598.28485	
0.08047	-549.33319	126.59077	568.62085	
0.08066	-376.78152	157.7807	599.87183	
0.08086	-326.05975	204.22986	621.35687	
0.08105	-184.3318	256.35547	545.12164	
0.08125	0.85452	328.31812	561.66266	
0.08145	35.95081	328.56229	522.65997	
0.08164	-33.26517	352.30566	431.28757	
0.08184	-119.02219	357.00552	282.23517	
0.08203	-8.11792	324.71695	229.74333	
0.08223	196.35609	269.35635	250.00763	
0.08242	402.78329	218.57356	290.59726	
0.08262	451.85706	174.4438	304.33057	
0.08281	442.15216	11.29185	199.77417	
0.08301	498.67245	22.5837	209.23489	
0.0832	394.48224	-2.38044	227.97327	
0.0834	269.96674	-119.38841	213.93475	
0.08359	224.55519	-69.94843	167.91284	
0.08379	247.99341	-55.60472	199.28587	
0.08398	262.88644	-25.63555	322.27545	
0.08418	271.18747	32.41066	291.26865	
0.08438	348.58243	55.17746	425.79425	
0.08457	430.55515	87.03879	559.95361	
0.08477	534.68427	62.3188	500.68668	
0.08496	546.22028	-1.648	374.88937	
0.08516	544.08398	80.08057	242.68318	
0.08535	600.90942	86.18427	396.25232	
0.08555	564.89758	97.41508	518.81464	
0.08574	483.65735	226.50838	552.69019	
0.08594	450.75839	195.3795	527.23779	
0.08613	469.19156	179.3878	440.74832	
0.08633	403.94299	255.13474	448.01172	
0.08652	266.18243	221.38127	392.28491	
0.08672	216.3152	19.71496	298.1048	
0.08691	224.55519	-93.02042	183.66039	
0.08711	228.46156	-19.47081	281.44168	
0.0873	242.80527	78.00531	313.85236	
0.0875	280.28198	162.17535	329.59991	
0.0877	268.5629	253.4257	625.0191	
0.08789	277.47427	330.2713	650.6546	
0.08809	271.12643	363.84167	567.64429	
0.08828	263.4968	445.44815	520.64575	
0.08848	352.18359	517.96014	524.61316	
0.08867	421.76581	420.66714	561.11334	
0.08887	522.04962	321.48196	481.15482	
0.08906	387.21884	386.73056	518.69257	
0.08926	259.89563	374.7673	520.95093	
0.08945	208.0752	274.11725	569.65851	
0.08965	65.98102	111.20945	416.94388	
