采样时间：2026-05-30 12:07:29
采样频率：5120Hz
测点描述	<未描述>	<未描述>	<未描述>	
time[s]	AI1-1 [Pa]	AI1-2 [Pa]	AI1-3 [Pa]	
0	172.61269	147.46544	157.2924	
0.0002	149.35759	168.8284	217.4749	
0.00039	59.87732	150.15106	203.1312	
0.00059	-3.54015	77.76116	115.42101	
0.00078	-9.64385	24.84207	49.07376	
0.00098	-18.49422	-18.92148	-8.42311	
0.00117	-51.57628	-61.89154	-72.02368	
0.00137	-93.69183	-99.85656	-97.84234	
0.00156	-112.97952	-131.59581	-82.52205	
0.00176	-113.773	-96.68264	-63.11228	
0.00195	-117.61833	-71.84057	-29.1757	
0.00215	-73.42754	-14.89303	11.41392	
0.00234	-12.75674	5.00504	10.74252	
0.00254	28.62636	-12.2074	34.7911	
0.00273	67.75109	66.2862	48.6465	
0.00293	89.54131	106.32648	62.3188	
0.00312	138.18781	128.42189	95.15672	
0.00332	163.64024	134.03729	128.72707	
0.00352	142.03314	144.71877	189.58098	
0.00371	86.36738	172.49062	183.05002	
0.00391	29.8471	96.13331	114.7496	
0.0041	25.69658	-18.73837	36.37806	
0.0043	-14.70992	-90.39583	-26.67318	
0.00449	-83.25449	-102.05389	-51.02695	
0.00469	-143.74217	-97.35404	-68.17835	
0.00488	-160.34425	-72.81716	-79.71435	
0.00508	-71.7185	-60.54872	-59.87732	
0.00527	-43.45836	-51.69836	-49.74517	
0.00547	-64.14991	-5.00504	-56.3982	
0.00566	-34.24177	8.24	-5.06607	
0.00586	1.22074	32.16651	25.3914	
0.00605	39.30784	63.72265	24.53688	
0.00625	54.99435	82.33894	64.39406	
0.00645	84.9025	116.94693	110.66012	
0.00664	111.57567	158.39107	129.27641	
0.00684	124.94278	203.98572	152.04321	
0.00703	126.59077	188.90958	197.45476	
0.00723	80.14161	137.76056	167.42455	
0.00742	25.3914	56.52028	65.24857	
0.00762	-21.54607	-34.54695	-26.42903	
0.00781	-80.26368	-28.87051	-75.93005	
0.00801	-126.83492	-39.49095	-69.39909	
0.0082	-127.50633	-53.34636	-25.75762	
0.0084	-101.62664	-28.93155	-15.13718	
0.00859	-64.08887	-30.09125	-55.2385	
0.00879	-55.42161	-17.33451	-68.78872	
0.00898	-67.81213	-12.63466	-48.40236	
0.00918	-11.0477	7.99585	-9.94903	
0.00938	34.18073	28.1991	34.7911	
0.00957	45.28947	53.95673	78.49361	
0.00977	109.74456	123.29478	111.75878	
0.00996	145.26811	170.72054	154.11847	
0.01016	161.38188	185.85773	180.79166	
0.01035	165.10513	164.18958	162.23639	
0.01055	122.86752	102.35908	147.95374	
0.01074	60.42665	34.11969	99.79552	
0.01094	-51.08799	2.74667	48.09717	
0.01113	-89.96857	1.28178	6.592	
0.01133	-63.84472	-20.32533	-48.46339	
0.01152	-67.75109	-28.07703	-81.66753	
0.01172	-61.95258	-36.13391	-86.36738	
0.01191	-81.05716	-66.95761	-44.12976	
0.01211	-84.23109	-48.6465	-19.16562	
0.0123	-59.63317	-7.99585	-26.06281	
0.0125	-26.18488	-1.1597	14.09955	
0.0127	8.30103	16.60207	53.16324	
0.01289	29.66399	82.33894	56.64235	
0.01309	63.17331	118.90012	82.70516	
0.01328	112.91849	107.79137	110.11078	
0.01348	154.6678	150.27315	130.49715	
0.01367	132.93863	168.09595	147.70958	
0.01387	61.22013	125.43108	119.57152	
0.01406	-7.87378	74.0379	51.57628	
0.01426	-56.03198	11.10874	7.32444	
